,SUBURB,Mean House Price,Median House Price,Variance House Price,Standard Deviation House Price,SEM House Price,Mean BATHROOMS,Mean BEDROOMS,Mean GARAGE,Mean LAND_AREA,Mean BUILD_YEAR,Mean CBD_DIST,Mean STATION DISTANCE,Mean SELL DATE,Lat_precise,Long_precise,state,postcode
149,HIGH WYCOMBE,435423.7805,439500,6684636793,81759.62814,6384.354348,1.707317073,3.68902439,1.908536585,680.0670732,1994,13943.29268,5373.170732,2018,-31.9365204,116.006311,WA,6057
150,HIGHGATE,790883.0263,792500,74144795353,272295.4193,44172.14988,1.421052632,2.789473684,1.394736842,906.7631579,1963,1776.315789,797.1578947,2016,-31.9392191,115.8691573,WA,6003
151,HILBERT,463561.3636,423750,39445345157,198608.5224,21171.73962,1.965909091,3.715909091,2.056818182,1157.465909,2007,27365.90909,3363.636364,2016,-32.1776,115.983,WA,6112
152,HILLARYS,930758.4507,880000,81202687269,284960.8522,23913.3835,1.957746479,3.802816901,1.845070423,672.3521127,1993,19410.56338,3710.56338,2019,-31.8083286,115.7438768,WA,6025
153,HILLARYS,930758.4507,880000,81202687269,284960.8522,23913.3835,1.957746479,3.802816901,1.845070423,672.3521127,1993,19410.56338,3710.56338,2019,-31.8083,115.744,WA,6923
154,HILLMAN,302450.5747,305000,2593248757,50923.95072,3860.534741,1.24137931,3.396551724,1.482758621,730.5747126,1977,37948.85057,829.9482759,2013,-32.2828886,115.7630414,WA,6168
155,HILTON,555069.3871,550000,10745337878,103659.7216,10749.0124,1.440860215,3.150537634,1.827956989,615.7419355,1972,14625.80645,4324.731183,2017,-32.0702,115.784,WA,6163
156,HOCKING,500639.3443,512500,5179745586,71970.4494,5320.208707,1.950819672,3.907103825,1.972677596,602.4098361,2003,20612.02186,3843.169399,2018,-31.7698267,115.8201204,WA,6065
157,HOPE VALLEY,450416.6667,422500,89831041667,299718.2705,122359.4715,1.666666667,3.333333333,0.666666667,18442.5,1985,26250,5833.333333,2002,-32.200778,115.8057319,WA,6165
158,HOPELAND,724075,772500,2.24636E+11,473958.3114,105980.3003,1.85,3.75,1.65,170135.05,1994,47825,12640,2006,-32.3642829,115.9092153,WA,6125
159,HOVEA,578225,638750,1.21927E+11,349179.7848,34917.97848,1.93,3.74,2.18,19098.48,1984,25132,10686,2006,-31.8757092,116.112542,WA,6071
160,HUNTINGDALE,400517.5135,410000,5609033901,74893.4837,5506.278432,1.697297297,3.708108108,2.135135135,642.027027,1993,17534.05405,3707.567568,2017,-32.0866604,115.9670872,WA,6110
161,ILUKA,894611.7925,825000,45343966424,212941.2276,14624.86356,2.169811321,4.155660377,2.014150943,645.5801887,2003,27033.96226,2324.056604,2018,-31.738911,115.7291538,WA,6028
162,INGLEWOOD,824133.913,790000,73696825638,271471.5927,25314.85655,1.695652174,3.182608696,1.843478261,536.6695652,1968,4520.869565,1490.069565,2018,-31.9168382,115.8851214,WA,6052
163,INGLEWOOD,824133.913,790000,73696825638,271471.5927,25314.85655,1.695652174,3.182608696,1.843478261,536.6695652,1968,4520.869565,1490.069565,2018,-31.9168382,115.8851214,WA,6932
164,INNALOO,552731.4667,552250,15808668779,125732.5287,16231.99966,1.65,3.1,1.833333333,363.9333333,1995,9150,1178.283333,2018,-31.8942851,115.7962433,WA,6018
165,INNALOO,552731.4667,552250,15808668779,125732.5287,16231.99966,1.65,3.1,1.833333333,363.9333333,1995,9150,1178.283333,2018,-31.8943,115.796,WA,6918
166,JANDABUP,594807.6923,385000,1.63515E+11,404369.4617,79303.37599,1.884615385,4,2.807692308,28412.5,1995,23192.30769,7369.230769,2004,-31.7368317,115.8532467,WA,6065
167,JANDABUP,594807.6923,385000,1.63515E+11,404369.4617,79303.37599,1.884615385,4,2.807692308,28412.5,1995,23192.30769,7369.230769,2004,-31.753,115.864,WA,6077
168,JANDAKOT,737267.3944,706500,32563288691,180453.0096,13450.17321,2.233333333,4.038888889,2.222222222,1990.822222,1998,16771.11111,2593.333333,2015,-32.1071414,115.8598559,WA,6164
169,JANE BROOK,506568.1642,515000,8506843790,92232.55277,6505.582674,1.975124378,3.945273632,2.218905473,689.681592,2002,20767.66169,5797.512438,2016,-31.8619221,116.0594798,WA,6056
170,JARRAHDALE,543730.8333,557500,37026145134,192421.7897,17565.62579,1.816666667,3.708333333,2.575,6901.108333,1988,46712.5,20871.66667,2014,-32.3759261,116.1595761,WA,6124
171,JINDALEE,610807.3394,600000,25271883835,158971.3302,15226.69187,2.04587156,3.816513761,1.990825688,509.0091743,2009,37608.25688,1707.33945,2017,-31.6506812,115.6920211,WA,6036
172,JOLIMONT,1051971.311,1020000,96572616872,310761.3504,39788.9137,1.836065574,3.327868852,1.918032787,834.9836066,1978,4677.04918,783.0983607,2014,-31.947634,115.8115906,WA,6014
173,JOONDALUP,521552.8704,530000,17431623011,132028.8719,12704.48412,1.925925926,3.555555556,1.824074074,720.4166667,1997,26201.85185,1139.861111,2018,-31.7339218,115.7657296,WA,6027
174,JOONDANNA,624365.6627,635000,45196641154,212595.0168,23335.33469,1.602409639,3.156626506,1.915662651,590.7228916,1982,5122.891566,1489.349398,2017,-31.9108876,115.8457182,WA,6060
175,KALAMUNDA,679729.4118,650000,36129574720,190077.8123,20616.83342,1.811764706,3.705882353,2.176470588,1898.141176,1979,18612.94118,10083.52941,2018,-31.9755983,116.0565936,WA,6076
176,KALAMUNDA,679729.4118,650000,36129574720,190077.8123,20616.83342,1.811764706,3.705882353,2.176470588,1898.141176,1979,18612.94118,10083.52941,2018,-31.9755983,116.0565936,WA,6926
177,KALLAROO,813718.75,772000,1.09867E+11,331461.7128,27621.8094,2.006944444,3.888888889,1.930555556,758.5138889,1986,21108.33333,3597.222222,2017,-31.789,115.739,WA,6025
178,KARAWARA,672787.8588,704250,38408322564,195980.4137,15031.01158,1.829411765,3.829411765,1.911764706,620.9647059,1994,6582.352941,2475.294118,2011,-32.0095347,115.8806461,WA,6152
179,KARDINYA,667850.6716,650000,35397745242,188142.8852,22985.31174,2,3.865671642,2.149253731,707.641791,1988,13186.56716,3332.835821,2018,-32.0687062,115.8148921,WA,6163
180,KARNUP,668196.9545,695000,1.31889E+11,363165.4524,44702.577,1.984848485,3.818181818,2.787878788,13890.72727,2004,52665.15152,9260.606061,2014,-32.4250674,115.7930198,WA,6176
181,KARRAGULLEN,471761.3636,341500,90837110333,301391.9547,45436.54675,1.681818182,3.727272727,1.636363636,25005.86364,1989,28895.45455,9256.818182,2007,-32.1003757,116.1168079,WA,6111
